Window,Train End,Test Start,Train Size,SARIMA MAPE,XGBoost MAPE,Hybrid MAPE
1,2021-12,2022-01,48,38.84,40.36,20.08
2,2022-03,2022-04,51,175.0,87.78,170.59
3,2022-06,2022-07,54,26.47,45.66,28.89
4,2022-09,2022-10,57,5.09,16.66,10.31
5,2022-12,2023-01,60,14.78,26.19,17.45
6,2023-03,2023-04,63,15.07,18.1,15.32
7,2023-06,2023-07,66,11.73,17.65,10.23
8,2023-09,2023-10,69,11.9,14.21,9.74
9,2023-12,2024-01,72,6.54,53.95,6.16
10,2024-03,2024-04,75,27.64,20.35,31.87
11,2024-06,2024-07,78,17.32,13.17,15.69
12,2024-09,2024-10,81,13.27,8.28,11.56
13,2024-12,2025-01,84,8.27,11.47,8.84
14,2025-03,2025-04,87,15.89,29.81,17.32
15,2025-06,2025-07,90,10.11,16.9,8.72
16,2025-09,2025-10,93,3.58,18.91,2.1
