Date,Arrivals
2018-01-31,238924.0
2018-02-28,235618.0
2018-03-31,233382.0
2018-04-30,180429.0
2018-05-31,129466.0
2018-06-30,146828.0
2018-07-31,217829.0
2018-08-31,200359.0
2018-09-30,149087.0
2018-10-31,153123.0
2018-11-30,195582.0
2018-12-31,253169.0
2019-01-31,244239.0
2019-02-28,252033.0
2019-03-31,244328.0
2019-04-30,166975.0
2019-05-31,37802.0
2019-06-30,63072.0
2019-07-31,115701.0
2019-08-31,143587.0
2019-09-30,108575.0
2019-10-31,118743.0
2019-11-30,176984.0
2019-12-31,241663.0
2020-01-31,228427.0
2020-02-29,207500.0
2020-03-31,71367.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,0.0
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,393.0
2021-01-31,1682.0
2021-02-28,3366.0
2021-03-31,4581.0
2021-04-30,4168.0
2021-05-31,1497.0
2021-06-30,1614.0
2021-07-31,2429.0
2021-08-31,5040.0
2021-09-30,13547.0
2021-10-31,22771.0
2021-11-30,44294.0
2021-12-31,89506.0
2022-01-31,82321.0
2022-02-28,96507.0
2022-03-31,106499.0
2022-04-30,62980.0
2022-05-31,30206.0
2022-06-30,32856.0
2022-07-31,47293.0
2022-08-31,37759.0
2022-09-30,29802.0
2022-10-31,42026.0
2022-11-30,59758.0
2022-12-31,91961.0
2023-01-31,102545.0
2023-02-28,107639.0
2023-03-31,125495.0
2023-04-30,105498.0
2023-05-31,83309.0
2023-06-30,100388.0
2023-07-31,143039.0
2023-08-31,136405.0
2023-09-30,111938.0
2023-10-31,109199.0
2023-11-30,151496.0
2023-12-31,210352.0
2024-01-31,208253.0
2024-02-29,218350.0
2024-03-31,209181.0
2024-04-30,148867.0
2024-05-31,112128.0
2024-06-30,113470.0
2024-07-31,187810.0
2024-08-31,164609.0
2024-09-30,122140.0
2024-10-31,135907.0
2024-11-30,184158.0
2024-12-31,248592.0
2025-01-31,252755.0
2025-02-28,240217.0
2025-03-31,229297.0
2025-04-30,174608.0
2025-05-31,132918.0
2025-06-30,138240.0
2025-07-31,200243.0
2025-08-31,198235.0
2025-09-30,158967.0
2025-10-31,165191.0
2025-11-30,212905.0
2025-12-31,258924.0
2026-01-31,277327.0
2026-02-28,279325.0
2026-03-31,183975.0
