n_estimators,max_depth,learning_rate,subsample,CV_RMSE
100,5,0.03,1.0,72652.5
200,5,0.03,1.0,73493.8
300,5,0.03,1.0,73595.0
100,4,0.03,1.0,74399.3
100,4,0.1,1.0,74545.9
100,5,0.05,1.0,74547.4
100,5,0.1,1.0,74612.2
300,4,0.1,1.0,74648.2
200,4,0.1,1.0,74653.5
200,5,0.1,1.0,74699.6
300,5,0.1,1.0,74701.3
200,5,0.05,1.0,74774.7
300,5,0.05,1.0,74904.5
200,3,0.03,1.0,75003.6
100,3,0.03,1.0,75046.0
200,4,0.03,1.0,75070.0
100,4,0.05,1.0,75167.9
300,4,0.03,1.0,75250.5
100,5,0.05,0.8,75331.4
200,4,0.05,1.0,75401.0
300,3,0.03,1.0,75402.4
100,3,0.1,1.0,75484.7
300,4,0.05,1.0,75498.7
100,3,0.1,0.8,75674.9
100,5,0.1,0.8,75685.1
100,3,0.05,1.0,75723.2
200,5,0.1,0.8,75827.2
300,5,0.1,0.8,75836.8
200,3,0.1,1.0,75903.7
100,4,0.05,0.8,75919.5
300,3,0.1,1.0,75934.6
200,3,0.1,0.8,76001.6
300,3,0.1,0.8,76045.8
200,4,0.05,0.8,76500.4
200,5,0.05,0.8,76512.8
100,3,0.03,0.8,76589.0
100,5,0.03,0.8,76731.9
300,4,0.05,0.8,76870.1
100,3,0.05,0.8,76885.1
300,5,0.05,0.8,76886.7
200,3,0.05,1.0,76927.0
200,5,0.03,0.8,77105.0
200,3,0.03,0.8,77219.0
200,3,0.05,0.8,77232.1
300,3,0.05,1.0,77250.4
100,4,0.03,0.8,77300.2
300,5,0.03,0.8,77565.0
300,3,0.05,0.8,77612.3
100,4,0.1,0.8,77619.0
200,4,0.1,0.8,77677.0
300,4,0.1,0.8,77684.8
300,3,0.03,0.8,77978.0
200,4,0.03,0.8,78019.0
300,4,0.03,0.8,78539.7
