n_estimators,max_depth,learning_rate,subsample,CV_MAPE
100,2,0.1,1.0,2506.812
300,2,0.1,1.0,2508.537
200,2,0.1,1.0,2509.275
50,2,0.1,1.0,2520.924
200,2,0.05,1.0,2559.598
300,2,0.05,1.0,2560.876
300,2,0.01,1.0,2569.718
100,2,0.05,1.0,2579.292
100,2,0.01,1.0,2595.711
200,2,0.01,1.0,2607.999
50,2,0.05,1.0,2664.48
300,2,0.01,0.8,2666.127
50,4,0.01,0.8,2679.618
50,5,0.01,0.8,2680.201
50,2,0.01,0.8,2685.549
50,3,0.01,0.8,2687.751
200,2,0.01,0.8,2701.459
50,2,0.01,1.0,2706.743
100,4,0.01,0.8,2714.788
100,5,0.01,0.8,2715.821
300,2,0.1,0.8,2716.672
100,3,0.01,0.8,2720.173
200,2,0.1,0.8,2722.793
100,2,0.01,0.8,2725.421
100,2,0.1,0.8,2732.549
50,2,0.1,0.8,2759.309
300,3,0.01,0.8,2765.871
50,3,0.01,1.0,2767.382
50,4,0.01,1.0,2767.8
50,5,0.01,1.0,2767.884
200,3,0.01,0.8,2769.494
200,4,0.01,0.8,2771.05
200,5,0.01,0.8,2772.147
300,4,0.01,0.8,2785.164
50,3,0.1,0.8,2791.45
300,5,0.01,0.8,2795.157
300,3,0.1,0.8,2805.264
200,3,0.1,0.8,2805.738
200,2,0.05,0.8,2805.775
300,2,0.05,0.8,2806.462
100,3,0.1,0.8,2809.772
100,2,0.05,0.8,2816.87
200,5,0.1,0.8,2821.84
300,5,0.1,0.8,2821.938
300,4,0.1,0.8,2822.956
200,4,0.1,0.8,2823.343
100,5,0.1,0.8,2823.863
50,2,0.05,0.8,2825.953
100,4,0.1,0.8,2829.962
50,4,0.1,0.8,2836.291
50,5,0.1,0.8,2839.592
200,3,0.05,0.8,2852.514
200,4,0.05,0.8,2852.907
300,3,0.05,0.8,2853.644
300,4,0.05,0.8,2854.319
50,3,0.05,0.8,2858.153
200,5,0.05,0.8,2858.199
300,5,0.05,0.8,2859.997
100,3,0.05,0.8,2870.062
100,5,0.01,1.0,2876.145
100,4,0.01,1.0,2876.362
100,3,0.01,1.0,2876.76
100,4,0.05,0.8,2886.368
50,4,0.05,0.8,2890.195
100,5,0.05,0.8,2896.403
300,5,0.05,1.0,2897.313
200,5,0.05,1.0,2898.927
100,5,0.05,1.0,2901.3
300,4,0.05,1.0,2902.112
100,4,0.05,1.0,2902.749
200,4,0.05,1.0,2902.954
50,5,0.05,0.8,2903.591
300,5,0.1,1.0,2927.144
200,5,0.1,1.0,2927.149
100,5,0.1,1.0,2928.967
300,4,0.01,1.0,2930.418
300,5,0.01,1.0,2930.428
300,4,0.1,1.0,2930.671
200,4,0.1,1.0,2930.692
100,4,0.1,1.0,2931.95
50,5,0.1,1.0,2933.079
50,4,0.1,1.0,2934.315
50,5,0.05,1.0,2958.145
50,4,0.05,1.0,2958.829
200,5,0.01,1.0,2967.878
200,4,0.01,1.0,2968.049
300,3,0.05,1.0,2968.85
200,3,0.05,1.0,2969.342
200,3,0.1,1.0,2971.504
300,3,0.1,1.0,2971.636
100,3,0.1,1.0,2972.005
50,3,0.1,1.0,2982.923
100,3,0.05,1.0,2984.426
200,3,0.01,1.0,3016.004
300,3,0.01,1.0,3038.716
50,3,0.05,1.0,3059.441
